sub_folder,artist,title,media_type_audio_or_video,max_width_in_pixels,url
MP4\Synthwave,The Midnight,Comeback Kid,video,1200,https://www.youtube.com/watch?v=YO_spdAYjPk
MP3\Synthwave,The Midnight,Comeback Kid,audio,,https://www.youtube.com/watch?v=fEwy-2ohf_4
MP4\Synthwave,The Midnight,Los Angeles,video,1200,https://www.youtube.com/watch?v=4rJ9z6IXnb8
MP3\Synthwave,The Midnight,Los Angeles,audio,,https://www.youtube.com/watch?v=qa6SiSGGwcw
MP4\Synthwave,FM Attack,Magic,video,1200,https://www.youtube.com/watch?v=1ds6KlfygV8
MP3\Synthwave,FM Attack,Magic,audio,,https://www.youtube.com/watch?v=Sj6XOh__TYM
MP4\Synthwave,FM-84,Running In The Night,video,1200,https://www.youtube.com/watch?v=TvZskcqdYcE
MP3\Synthwave,FM-84,Running In The Night,audio,,https://www.youtube.com/watch?v=Bv4jOz-mySA
MP4\Synthwave,NINA,Automatic Call,video,1200,https://www.youtube.com/watch?v=7rCzIwlX8Dg
MP3\Synthwave,NINA,Automatic Call,audio,,https://www.youtube.com/watch?v=3MRYMIbww9w
MP4\Synthwave,"NINA, LAU",80's Girl,video,1200,https://www.youtube.com/watch?v=oBtC_CGd13U
MP3\Synthwave,"NINA, LAU",80's Girl,audio,,https://www.youtube.com/watch?v=q_4-m8Z2p7I
